Comment,Description,Designator,Footprint,LibRef,Quantity

"2pos","P2.54mm","+5V, +12V, 18VAC","2POS","2pos","3"
"2pos-3","P2.54mm","BATT, HVDC","2POS - 3","2pos-3","2"
"100UF25V","CAP TH AL: 100U 25V","C1, C4","CAP LS-2.5mm D6.3 H7 - duplicate","100UF25V","2"
"470UF50V","CAP TH AL: 470U 50V","C2","CAP_RADIAL_D13.0_P5.0_H20.0","470UF50V","1"
"1UFCER","CAP: CER 1UF 50V","C3, C5, C6","CAP-CER-2.54","1UFCER","3"
"0.1uF","Cap Ceramic 0.1uF 100V X7R 10% Radial 2.54mm 125°C T/R","C7, C8","CAP-P_Pilm","0.1uF_film","2"
"1000UF400V","CAP TH AL: 1000U 400V","C9","CAP-TH_BD35.0-P10.00-D2.3-FD","1000UF400V","1"
"100nFCER","CAP: CER 100nF 50V","C10","CAP-CER-2.54","100nFCER","1"
"4700UF 35V","CAP TH AL: 4700UF 35V","C11, C12","CAP-TH_BD18.0-P7.50-D1.2-FD","4700UF 35V","2"
"FR107","DIODE: GEN 1A 1.0V@1A 1kV DO-41 TH","D1, D2, D3, D4","DIOAD1036W78L470D235","FR107","4"
"1N4148","Rectifier Diode Small Signal Switching 100V 0.3A 4ns 2-Pin DO-35 T/R","D5, D6, D7, D8, D13, D14, D15, D16","DIOAD1036W78L470D235","1N4148","8"
"FR307","DIODE: 500ns, 3A, 1000V, Fast Recovery RectifierDO-201AD TH","D9, D10, D11, D12","DO-27_BD5.3-L8.4-P12.40-D1.3-RD","FR307","4"
"HDR7Pin","HEADER: 1*7P Male","J1","HDR-TH 7P - male hader","HDR7Pin","1"
"Troidal core  220uH","Troidal core  inductor: 220uH","L1","TOROIDAL CORE INDUCTOR","Inductor","1"
"IRF3205","MOSFET: N-CH 55V 110A TO-220","Q1, Q2, Q3, Q4, Q5, Q6, Q7, Q8","TO-220","IRF3205","8"
"RES-0.5W-27R","RES: 27 OHM 1% 0.5W TH","R1, R10","RES_TH 3W","RES-0.5W-27R","2"
"10R","RES TH: 10R","R2, R3, R4, R5, R13, R14, R15, R16","RES-TH-7mm","10R","8"
"10K","RES TH: 10K","R6, R7, R8, R9, R17, R18, R19, R20","RES-TH-7mm","10K","8"
"150K","RES TH: 150K","R11, R21","RES-TH-7mm","150K","2"
"1M","RES TH: 1M","R12","RES-TH-7mm","1M","1"
"0.5M","RES TH: 0.5M","R22","RES-TH-7mm","0.5M","1"
"RES-2W-1R","RES: 1 OHM 1% 2W TH","R23, R24, R25","RES_TH 3W","RES-2W-1R","3"
"40K","RES TH: 40K","R26","RES-TH-7mm","40K","1"
"10K","RES TH: 10K POT","R27","TRIM_3296W-1-250","10K POT","1"
"4.7K","RES TH: 4.7K","R28, R29","RES-TH-7mm","4.7K","2"
"0R","RES TH: JUMPER","R30","RES-TH-7mm","0R","1"
"current transformer","ferrite core transformer EE42","T1, T2","EE35-FP16","EE42 transformer","2"
"TL431","Adjustable precision shunt regulator","u1","TO-92","TL431","1"
"LM7812CT","1.5-A, 12-V, linear voltage regulator","VR1","TO254P1054X470X1955-3","LM7812CT","1"
"LM7805CT","1.5-A,  5-V, linear voltage regulator","VR2","TO254P1054X470X1955-3","LM7805CT","1"
