Comment,Description,Designator,Footprint,LibRef,Quantity

"100UF25V","CAP TH AL: 100U 25V","C1","CAP LS-1.5mm D4 H5","100UF25V","1"
"1UFCER","CAP: CER 1UF 50V","C2","CAP-CER-2.54","1UFCER","1"
"2.2NFCER","CAP TH: CER 2.2nF","C3","CAP-CER-2.54","2.2NFCER","1"
"100nFCER","CAP: CER 100nF 50V","C4","CAP-CER-2.54","100nFCER_2","1"
"1UF25V","CAP TH AL: 1U 25V","C5","CAP LS-1.5mm D4 H5","1UF25V","1"
"HDR7Pin","HEADER: 1*7P Male","J1","HDR-TH 7P - male hader","HDR7Pin","1"
"LED Red","LED TH: 1.9V LED","LED1, LED2, LED3","LED_5MM P2.5MM WHITE","LED Red","3"
"SS8050","Transistor: 25V 300mW 120@100mA,1V 1.5A NPN SOT-23","Q1, Q3","TO-92","SS8050","2"
"SS8550","Transistor: 25V 200mW 120@100mA,1V 1.5A PNP SOT-23 EVVO","Q2, Q4","TO-92","SS8550","2"
"1K","RES TH: 1K","R1, R2, R10, R13, R16, R17","RES-TH-7mm","1K","6"
"10K","RES TH: 10K","R3, R5, R9","RES-TH-7mm","10K","3"
"10R","RES TH: 10R","R4","RES-TH-7mm","10R","1"
"5.5K","RES TH: 5.5K","R6","RES-TH-7mm","5.5K","1"
"100R","RES TH: 100R","R7, R8","RES-TH-7mm","100R_1","2"
"20K","RES TH: 20K","R11","RES-TH-7mm","20K","1"
"10K","RES TH: 10K POT","R12","TRIM_3296W-1-250","10K POT","1"
"5K","RES TH: 5K","R14","RES-TH-7mm","5K","1"
"47K","RES TH: 47K","R15","RES-TH-7mm","47K","1"
"4K","RES TH: 4K","R18","RES-TH-7mm","4K","1"
"PC817","Optoisolator Transistor Output 5000Vrms 1 Channel 4-DIP","u3","DIP-4","PC817","1"
"SG3525AN","Buck, Push-Pull Regulator Positive Output Step-Down, Step-Up/Step-Down - DC-DC Controller IC 16-DIP","U1","DIP-16","SG3525AN","1"
"LM358","TH- dual opamp","U2","DIP-8","LM358","1"
