Comment,Description,Designator,Footprint,LibRef,Quantity

"2pos","P2.54mm","5V, 12V, FAN","2POS","2pos","3"
"2pos","P2.54mm","ACOUT, HVDC","2POS - 3","2pos","2"
"10NFCER","CAP: CER 1UF 50V X7R 1206","C1","CAP-CER-2.54","10NFCER","1"
"2.2uF","Cap flim 2.2uF 400V","C2","CAP_TH L23","2.2uF_film capacitor","1"
"0.1uF","Cap Ceramic 0.1uF 100V X7R 10% Radial 2.54mm 125°C T/R","C3","CAP-P_Pilm","0.1uF_film","1"
"FR107","DIODE: GEN 1A 1.0V@1A 1kV DO-41 TH","D1, D2, D3, D4","DIOAD1036W78L470D235","FR107","4"
"Troidal core  3.3mH","Troidal core  inductor: 220uH","L1","TOROIDAL CORE INDUCTOR","Inductor","1"
"SS8050","Transistor: 25V 300mW 120@100mA,1V 1.5A NPN SOT-23","Q1","TO-92","SS8050","1"
"FGH40N60UFD","FGH40N60UFD: 600V Field-Stop IGBT with ultrafast co-pack diode, 40A class, VCE(sat) typ 1.8V @ 40A/15V, TO-247-3LD (short lead) package.","Q2, Q3, Q4, Q5","TO-247-3LD","FGH40N60UFD","4"
"10R","RES TH: 10R","R1, R2, R5, R6","RES-TH-7mm","10R","4"
"10K","RES TH: 10K","R3, R4, R8, R9","RES-TH-7mm","10K","4"
"RES-0.5W-200K","RES: 200K OHM 1% 0.5W TH","R7","RES_TH 3W","RES-0.5W-200K","1"
"RES-0.5W-10K","RES: 10K OHM 1% 0.5W TH","R10","RES_TH 3W","RES-0.5W-10K","1"
"10K","RES TH: 10K POT","R11","TRIM_3296W-1-250","10K POT","1"
"RES-2W-2.1RRES-3W-0.2R","RES: 0.2OHM 1% 2W TH","R12, R13","RES_TH 3W","RES-2W-0.2R","2"
"10K","NTC TH: 10K","u1","NTC-TH L6.5","NTC 10K","1"
"EGS002","EGS002 SPWM Pure Sine Wave Inverter Driver Board","u2","PINHEADER_1X17_P2.54MM","EGS002","1"
